id,title,artist,type,releaseDate,selectedForStudioShelf,songCount,videoCount,declaredTrackCount,missingTrackCount,coverPath,storefronts,metadataStatus,sourceUrls,notes
apple-892852443,時代曲 (華星40 復刻系列),陳奕迅,studio,1996-08-19,False,10,0,10,0,covers/892852443-時代曲 (華星40 復刻系列).jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E6%99%82%E4%BB%A3%E6%9B%B2-%E8%8F%AF%E6%98%9F40-%E5%BE%A9%E5%88%BB%E7%B3%BB%E5%88%97/892852443?uo=4 | https://musicbrainz.org/release-group/0d69a75d-8238-4c7d-aafa-d9f41f20a52b,
apple-892603736,華星DSD復刻經典: 陳奕迅,陳奕迅,studio,1996-08-19,True,10,0,10,0,covers/892603736-華星DSD復刻經典_ 陳奕迅.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E8%8F%AF%E6%98%9Fdsd%E5%BE%A9%E5%88%BB%E7%B6%93%E5%85%B8-%E9%99%B3%E5%A5%95%E8%BF%85/892603736?uo=4 | https://musicbrainz.org/release-group/0d69a75d-8238-4c7d-aafa-d9f41f20a52b,
apple-1694525409,一滴眼淚,陳奕迅,studio,1997-01-10,True,10,0,10,0,covers/1694525409-一滴眼淚.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E4%B8%80%E6%BB%B4%E7%9C%BC%E6%B7%9A/1694525409?uo=4 | https://musicbrainz.org/release-group/2ea52ed2-cbf2-484b-9d2a-5ea553eff221,
apple-892735096,與我常在,陳奕迅,studio,1997-09-01,True,11,0,11,0,covers/892735096-與我常在.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E8%88%87%E6%88%91%E5%B8%B8%E5%9C%A8/892735096?uo=4 | https://musicbrainz.org/release-group/f99ad43d-a0d4-44d8-b8ac-502129019e4a,
apple-1694525250,醞釀,陳奕迅,studio,1997-11-12,True,12,0,12,0,covers/1694525250-醞釀.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E9%86%9E%E9%87%80/1694525250?uo=4 | https://musicbrainz.org/release-group/97d66923-78dc-4d15-aa27-4c570c544b24,
apple-1575742728,我的快樂時代,陳奕迅,studio,1998-05-26,True,14,0,14,0,covers/1575742728-我的快樂時代.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E6%88%91%E7%9A%84%E5%BF%AB%E6%A8%82%E6%99%82%E4%BB%A3/1575742728?uo=4 | https://musicbrainz.org/release-group/f93309d1-69fe-3240-b95c-57613621ece5,本版含 14 曲；另保留 Apple 892745229 的 10 曲版本。
apple-892745229,我的快樂時代,陳奕迅,studio,1998-05-26,False,10,0,10,0,covers/892745229-我的快樂時代.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E6%88%91%E7%9A%84%E5%BF%AB%E6%A8%82%E6%99%82%E4%BB%A3/892745229?uo=4 | https://musicbrainz.org/release-group/f93309d1-69fe-3240-b95c-57613621ece5,
apple-6785387038,大激想 - EP,"陳奕迅, 楊千嬅 & 梁漢文",ep,1998-08-01,False,4,0,4,0,covers/6785387038-大激想 - EP.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E5%A4%A7%E6%BF%80%E6%83%B3-ep/6785387038?uo=4 | https://musicbrainz.org/release-group/824c09b2-a340-4731-99c9-e5cb9fa50b4b,
apple-1484716666,新生活 (Live),陳奕迅,live,1999-02-01,False,14,0,14,0,covers/1484716666-新生活 (Live).jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E6%96%B0%E7%94%9F%E6%B4%BB-live/1484716666?uo=4 | https://musicbrainz.org/release-group/91ac7c10-3e8f-4790-a162-bc7523c41855,
apple-892819866,天佑愛人,陳奕迅,studio,1999-05-26,True,10,0,10,0,covers/892819866-天佑愛人.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E5%A4%A9%E4%BD%91%E6%84%9B%E4%BA%BA/892819866?uo=4 | https://musicbrainz.org/release-group/af146917-9503-4ce6-9b7d-fdf8ffbb9bf0,
apple-1694525826,婚禮的祝福,陳奕迅,studio,1999-09-09,True,10,0,10,0,covers/1694525826-婚禮的祝福.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E5%A9%9A%E7%A6%AE%E7%9A%84%E7%A5%9D%E7%A6%8F/1694525826?uo=4 | https://musicbrainz.org/release-group/8e951f06-a35b-4fda-9d19-51f743e31452,
apple-892514705,幸福,陳奕迅,ep,1999-11-24,False,12,0,12,0,covers/892514705-幸福.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E5%B9%B8%E7%A6%8F/892514705?uo=4 | https://musicbrainz.org/release-group/ca844c28-9221-4bd7-aa73-558afc612802,
apple-892458133,Eason & Friends 903 ID Club 拉闊音樂會,陳奕迅,live,2000-01-01,False,11,0,11,0,covers/892458133-Eason & Friends 903 ID Club 拉闊音樂會.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/eason-friends-903-id-club-%E6%8B%89%E9%97%8A%E9%9F%B3%E6%A8%82%E6%9C%83/892458133?uo=4 | https://musicbrainz.org/release-group/50432e49-6503-426c-9a6a-7be6be807459,
apple-1550844443,"68'29""",陳奕迅,compilation,2000-09-27,False,16,0,16,0,covers/1550844443-68'29_.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/6829/1550844443?uo=4 | https://musicbrainz.org/release-group/f02cd365-5ccb-481e-866a-2ae119894f3b,
apple-542594340,打得火熱,陳奕迅,studio,2000-10-01,True,10,0,10,0,covers/542594340-打得火熱.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/%E6%89%93%E5%BE%97%E7%81%AB%E7%86%B1/542594340?uo=4 | https://musicbrainz.org/release-group/ba853ec0-bcf3-409a-86b6-4371e76534af,
apple-892390524,Mixed Up,陳奕迅,remix,2001-01-01,False,10,0,10,0,covers/892390524-Mixed Up.jpg,"cn,hk,tw,us",catalog,https://music.apple.com/hk/album/mixed-up/892390524?uo=4 | https://musicbrainz.org/release-group/2beef91f-d1ba-3226-8315-c054178c0772,
mb-753015ea-05eb-4b32-a02e-84c10cb8116f,Eason 18首選,陳奕迅,compilation,2001-04-03,False,18,0,18,0,,,physical-reference,https://musicbrainz.org/release/753015ea-05eb-4b32-a02e-84c10cb8116f | https://musicbrainz.org/release-group/3585395b-708e-4b2f-89f9-5499b8312591,Apple 四区目录未找到该发行 ID；依据 MusicBrainz 指定版本保存，未与相似标题版本合并。 | 曲目已保存，独立封面尚未下载成功；不使用其他专辑图片代替。
